"";"IDNummer";"Produktionsdatum";"Herstellernummer";"Werksnummer";"Fehlerhaft"
"50";"K7-114-1142-50";2008-11-14;114;1142;0
"51";"K7-114-1142-51";2008-11-14;114;1142;0
"52";"K7-114-1142-52";2008-11-14;114;1142;0
"53";"K7-114-1142-53";2008-11-14;114;1142;0
"54";"K7-114-1142-54";2008-11-14;114;1142;0
"55";"K7-114-1142-55";2008-11-14;114;1142;0
"56";"K7-114-1142-56";2008-11-14;114;1142;0
"57";"K7-114-1142-57";2008-11-14;114;1142;0
"58";"K7-114-1142-58";2008-11-14;114;1142;0
"59";"K7-114-1142-59";2008-11-14;114;1142;0
"60";"K7-114-1142-60";2008-11-14;114;1142;0
"61";"K7-114-1142-61";2008-11-14;114;1142;0
"62";"K7-114-1142-62";2008-11-14;114;1142;0
"63";"K7-114-1142-63";2008-11-14;114;1142;0
"64";"K7-114-1142-64";2008-11-14;114;1142;0
"65";"K7-114-1142-65";2008-11-14;114;1142;0
"66";"K7-114-1142-66";2008-11-14;114;1142;0
"67";"K7-114-1142-67";2008-11-14;114;1142;0
"68";"K7-114-1142-68";2008-11-14;114;1142;0
"69";"K7-114-1142-69";2008-11-14;114;1142;0
"70";"K7-114-1142-70";2008-11-14;114;1142;0
"71";"K7-114-1142-71";2008-11-14;114;1142;0
"72";"K7-114-1142-72";2008-11-14;114;1142;0
"73";"K7-114-1142-73";2008-11-14;114;1142;0
"74";"K7-114-1142-74";2008-11-14;114;1142;0
"75";"K7-114-1142-75";2008-11-14;114;1142;0
"76";"K7-114-1142-76";2008-11-14;114;1142;0
"77";"K7-114-1142-77";2008-11-14;114;1142;0
"78";"K7-114-1142-78";2008-11-14;114;1142;0
"79";"K7-114-1142-79";2008-11-14;114;1142;0
"80";"K7-114-1142-80";2008-11-14;114;1142;0
"81";"K7-114-1142-81";2008-11-14;114;1142;0
"82";"K7-114-1142-82";2008-11-14;114;1142;0
"83";"K7-114-1142-83";2008-11-14;114;1142;0
"84";"K7-114-1142-84";2008-11-14;114;1142;0
"85";"K7-114-1142-85";2008-11-14;114;1142;0
"86";"K7-114-1142-86";2008-11-14;114;1142;0
"87";"K7-114-1142-87";2008-11-14;114;1142;0
"88";"K7-114-1142-88";2008-11-14;114;1142;0
"89";"K7-114-1142-89";2008-11-14;114;1142;0
"90";"K7-114-1142-90";2008-11-14;114;1142;0
"91";"K7-114-1142-91";2008-11-14;114;1142;0
"92";"K7-114-1142-92";2008-11-14;114;1142;0
"93";"K7-114-1142-93";2008-11-15;114;1142;0
"94";"K7-114-1142-94";2008-11-15;114;1142;0
"95";"K7-114-1142-95";2008-11-15;114;1142;0
"96";"K7-114-1142-96";2008-11-15;114;1142;0
"97";"K7-114-1142-97";2008-11-15;114;1142;0
"98";"K7-114-1142-98";2008-11-15;114;1142;0
"99";"K7-114-1142-99";2008-11-15;114;1142;0
"100";"K7-114-1142-100";2008-11-15;114;1142;0
"101";"K7-114-1142-101";2008-11-15;114;1142;0
"102";"K7-114-1142-102";2008-11-15;114;1142;0
"103";"K7-114-1142-103";2008-11-15;114;1142;0
"104";"K7-114-1142-104";2008-11-15;114;1142;0
"105";"K7-114-1142-105";2008-11-15;114;1142;0
"106";"K7-114-1142-106";2008-11-15;114;1142;0
"107";"K7-114-1142-107";2008-11-15;114;1142;0
"108";"K7-114-1142-108";2008-11-15;114;1142;0
"109";"K7-114-1142-109";2008-11-15;114;1142;0
"110";"K7-114-1142-110";2008-11-15;114;1142;0
"111";"K7-114-1142-111";2008-11-15;114;1142;0
"112";"K7-114-1142-112";2008-11-15;114;1142;0
"113";"K7-114-1142-113";2008-11-15;114;1142;0
"114";"K7-114-1142-114";2008-11-15;114;1142;0
"115";"K7-114-1142-115";2008-11-15;114;1142;0
"116";"K7-114-1142-116";2008-11-15;114;1142;0
"117";"K7-114-1142-117";2008-11-15;114;1142;0
"118";"K7-114-1142-118";2008-11-15;114;1142;0
"119";"K7-114-1142-119";2008-11-15;114;1142;0
"120";"K7-114-1142-120";2008-11-15;114;1142;0
"121";"K7-114-1142-121";2008-11-15;114;1142;0
"122";"K7-114-1142-122";2008-11-15;114;1142;0
"123";"K7-114-1142-123";2008-11-15;114;1142;0
"124";"K7-114-1142-124";2008-11-15;114;1142;0
"125";"K7-114-1142-125";2008-11-15;114;1142;0
"126";"K7-114-1142-126";2008-11-15;114;1142;0
"127";"K7-114-1142-127";2008-11-15;114;1142;0
"128";"K7-114-1142-128";2008-11-15;114;1142;0
"129";"K7-114-1142-129";2008-11-15;114;1142;0
"130";"K7-114-1142-130";2008-11-15;114;1142;0
"131";"K7-114-1142-131";2008-11-15;114;1142;0
"132";"K7-114-1142-132";2008-11-15;114;1142;0
"133";"K7-114-1142-133";2008-11-15;114;1142;0
"134";"K7-114-1142-134";2008-11-15;114;1142;0
"135";"K7-114-1142-135";2008-11-15;114;1142;0
"136";"K7-114-1142-136";2008-11-15;114;1142;0
"137";"K7-114-1142-137";2008-11-15;114;1142;0
"138";"K7-114-1142-138";2008-11-15;114;1142;0
"139";"K7-114-1142-139";2008-11-15;114;1142;0
"140";"K7-114-1142-140";2008-11-15;114;1142;0
"141";"K7-114-1142-141";2008-11-15;114;1142;0
"142";"K7-114-1142-142";2008-11-15;114;1142;0
"143";"K7-114-1142-143";2008-11-15;114;1142;0
"144";"K7-114-1142-144";2008-11-15;114;1142;0
"145";"K7-114-1142-145";2008-11-15;114;1142;0
"146";"K7-114-1142-146";2008-11-15;114;1142;0
"147";"K7-114-1142-147";2008-11-15;114;1142;0
"148";"K7-114-1142-148";2008-11-15;114;1142;0
"149";"K7-114-1142-149";2008-11-15;114;1142;0
"150";"K7-114-1142-150";2008-11-15;114;1142;0
"151";"K7-114-1142-151";2008-11-15;114;1142;0
"152";"K7-114-1142-152";2008-11-15;114;1142;0
"153";"K7-114-1142-153";2008-11-15;114;1142;0
"154";"K7-114-1142-154";2008-11-15;114;1142;0
"155";"K7-114-1142-155";2008-11-15;114;1142;0
"156";"K7-114-1142-156";2008-11-15;114;1142;0
"157";"K7-114-1142-157";2008-11-15;114;1142;0
"158";"K7-114-1142-158";2008-11-15;114;1142;0
"159";"K7-114-1142-159";2008-11-15;114;1142;0
"160";"K7-114-1142-160";2008-11-15;114;1142;0
"161";"K7-114-1142-161";2008-11-15;114;1142;0
"162";"K7-114-1142-162";2008-11-15;114;1142;0
"163";"K7-114-1142-163";2008-11-15;114;1142;0
"164";"K7-114-1142-164";2008-11-15;114;1142;0
"165";"K7-114-1142-165";2008-11-15;114;1142;0
"166";"K7-114-1142-166";2008-11-15;114;1142;0
"167";"K7-114-1142-167";2008-11-15;114;1142;0
"168";"K7-114-1142-168";2008-11-15;114;1142;0
"169";"K7-114-1142-169";2008-11-15;114;1142;0
"170";"K7-114-1142-170";2008-11-15;114;1142;0
"171";"K7-114-1142-171";2008-11-15;114;1142;0
"172";"K7-114-1142-172";2008-11-15;114;1142;0
"173";"K7-114-1142-173";2008-11-15;114;1142;0
"174";"K7-114-1142-174";2008-11-15;114;1142;0
"175";"K7-114-1142-175";2008-11-15;114;1142;0
"176";"K7-114-1142-176";2008-11-15;114;1142;0
"177";"K7-114-1142-177";2008-11-15;114;1142;0
"178";"K7-114-1142-178";2008-11-15;114;1142;0
"179";"K7-114-1142-179";2008-11-15;114;1142;0
"180";"K7-114-1142-180";2008-11-15;114;1142;0
"181";"K7-114-1142-181";2008-11-15;114;1142;0
"182";"K7-114-1142-182";2008-11-15;114;1142;0
"183";"K7-114-1142-183";2008-11-15;114;1142;0
"184";"K7-114-1142-184";2008-11-15;114;1142;0
"185";"K7-114-1142-185";2008-11-15;114;1142;0
"186";"K7-114-1142-186";2008-11-15;114;1142;0
"187";"K7-114-1142-187";2008-11-15;114;1142;0
"188";"K7-114-1142-188";2008-11-15;114;1142;0
"189";"K7-114-1142-189";2008-11-15;114;1142;0
"190";"K7-114-1142-190";2008-11-15;114;1142;0
"191";"K7-114-1142-191";2008-11-15;114;1142;0
"192";"K7-114-1142-192";2008-11-15;114;1142;0
"193";"K7-114-1142-193";2008-11-15;114;1142;0
"194";"K7-114-1142-194";2008-11-15;114;1142;0
"195";"K7-114-1142-195";2008-11-15;114;1142;0
"196";"K7-114-1142-196";2008-11-15;114;1142;0
"197";"K7-114-1142-197";2008-11-15;114;1142;0
"198";"K7-114-1142-198";2008-11-15;114;1142;0
"199";"K7-114-1142-199";2008-11-16;114;1142;0
"200";"K7-114-1142-200";2008-11-16;114;1142;0
"201";"K7-114-1142-201";2008-11-16;114;1142;0
"202";"K7-114-1142-202";2008-11-16;114;1142;0
"203";"K7-114-1142-203";2008-11-16;114;1142;0
"204";"K7-114-1142-204";2008-11-16;114;1142;0
"205";"K7-114-1142-205";2008-11-16;114;1142;0
"206";"K7-114-1142-206";2008-11-16;114;1142;0
"207";"K7-114-1142-207";2008-11-16;114;1142;0
"208";"K7-114-1142-208";2008-11-16;114;1142;0
"209";"K7-114-1142-209";2008-11-16;114;1142;0
"210";"K7-114-1142-210";2008-11-16;114;1142;0
"211";"K7-114-1142-211";2008-11-16;114;1142;0
"212";"K7-114-1142-212";2008-11-16;114;1142;0
"213";"K7-114-1142-213";2008-11-16;114;1142;0
"214";"K7-114-1142-214";2008-11-16;114;1142;0
"215";"K7-114-1142-215";2008-11-16;114;1142;0
"216";"K7-114-1142-216";2008-11-16;114;1142;0
"217";"K7-114-1142-217";2008-11-16;114;1142;0
"218";"K7-114-1142-218";2008-11-16;114;1142;0
"219";"K7-114-1142-219";2008-11-16;114;1142;0
"220";"K7-114-1142-220";2008-11-16;114;1142;0
"221";"K7-114-1142-221";2008-11-16;114;1142;0
"222";"K7-114-1142-222";2008-11-16;114;1142;0
"223";"K7-114-1142-223";2008-11-16;114;1142;0
"224";"K7-114-1142-224";2008-11-16;114;1142;0
"225";"K7-114-1142-225";2008-11-16;114;1142;0
"226";"K7-114-1142-226";2008-11-16;114;1142;0
"227";"K7-114-1142-227";2008-11-16;114;1142;0
"228";"K7-114-1142-228";2008-11-16;114;1142;0
"229";"K7-114-1142-229";2008-11-16;114;1142;0
"230";"K7-114-1142-230";2008-11-16;114;1142;0
"231";"K7-114-1142-231";2008-11-16;114;1142;0
"232";"K7-114-1142-232";2008-11-16;114;1142;0
"233";"K7-114-1142-233";2008-11-16;114;1142;0
"234";"K7-114-1142-234";2008-11-16;114;1142;0
"235";"K7-114-1142-235";2008-11-16;114;1142;0
"236";"K7-114-1142-236";2008-11-16;114;1142;0
"237";"K7-114-1142-237";2008-11-16;114;1142;0
"238";"K7-114-1142-238";2008-11-16;114;1142;0
"239";"K7-114-1142-239";2008-11-16;114;1142;0
"240";"K7-114-1142-240";2008-11-16;114;1142;0
"241";"K7-114-1142-241";2008-11-16;114;1142;0
"242";"K7-114-1142-242";2008-11-16;114;1142;0
"243";"K7-114-1142-243";2008-11-16;114;1142;0
"244";"K7-114-1142-244";2008-11-16;114;1142;0
"245";"K7-114-1142-245";2008-11-16;114;1142;0
"246";"K7-114-1142-246";2008-11-16;114;1142;0
"247";"K7-114-1142-247";2008-11-16;114;1142;0
"248";"K7-114-1142-248";2008-11-16;114;1142;0
"249";"K7-114-1142-249";2008-11-16;114;1142;0
"250";"K7-114-1142-250";2008-11-16;114;1142;0
"251";"K7-114-1142-251";2008-11-16;114;1142;0
"252";"K7-114-1142-252";2008-11-16;114;1142;0
"253";"K7-114-1142-253";2008-11-16;114;1142;0
"254";"K7-114-1142-254";2008-11-16;114;1142;0
"255";"K7-114-1142-255";2008-11-16;114;1142;0
"256";"K7-114-1142-256";2008-11-16;114;1142;0
"257";"K7-114-1142-257";2008-11-16;114;1142;0
"258";"K7-114-1142-258";2008-11-16;114;1142;0
"259";"K7-114-1142-259";2008-11-16;114;1142;0
"260";"K7-114-1142-260";2008-11-16;114;1142;0
"261";"K7-114-1142-261";2008-11-16;114;1142;0
"262";"K7-114-1142-262";2008-11-16;114;1142;0
"263";"K7-114-1142-263";2008-11-16;114;1142;0
"264";"K7-114-1142-264";2008-11-16;114;1142;0
"265";"K7-114-1142-265";2008-11-16;114;1142;0
"266";"K7-114-1142-266";2008-11-16;114;1142;0
"267";"K7-114-1142-267";2008-11-16;114;1142;0
"268";"K7-114-1142-268";2008-11-16;114;1142;0
"269";"K7-114-1142-269";2008-11-16;114;1142;0
"270";"K7-114-1142-270";2008-11-16;114;1142;0
"271";"K7-114-1142-271";2008-11-16;114;1142;0
"272";"K7-114-1142-272";2008-11-16;114;1142;0
"273";"K7-114-1142-273";2008-11-16;114;1142;0
"274";"K7-114-1142-274";2008-11-16;114;1142;0
"275";"K7-114-1142-275";2008-11-16;114;1142;0
"276";"K7-114-1142-276";2008-11-16;114;1142;0
"277";"K7-114-1142-277";2008-11-16;114;1142;0
"278";"K7-114-1142-278";2008-11-16;114;1142;0
"279";"K7-114-1142-279";2008-11-16;114;1142;0
"280";"K7-114-1142-280";2008-11-16;114;1142;0
"281";"K7-114-1142-281";2008-11-16;114;1142;0
"282";"K7-114-1142-282";2008-11-16;114;1142;0
"283";"K7-114-1142-283";2008-11-16;114;1142;0
"284";"K7-114-1142-284";2008-11-16;114;1142;0
"285";"K7-114-1142-285";2008-11-16;114;1142;0
"286";"K7-114-1142-286";2008-11-16;114;1142;0
"287";"K7-114-1142-287";2008-11-16;114;1142;0
"288";"K7-114-1142-288";2008-11-16;114;1142;0
"289";"K7-114-1142-289";2008-11-16;114;1142;0
"290";"K7-114-1142-290";2008-11-16;114;1142;0
"291";"K7-114-1142-291";2008-11-16;114;1142;0
"292";"K7-114-1142-292";2008-11-16;114;1142;0
"293";"K7-114-1142-293";2008-11-16;114;1142;0
"294";"K7-114-1142-294";2008-11-16;114;1142;0
"295";"K7-114-1142-295";2008-11-16;114;1142;0
"296";"K7-114-1142-296";2008-11-16;114;1142;0
"297";"K7-114-1142-297";2008-11-16;114;1142;0
"298";"K7-114-1142-298";2008-11-16;114;1142;0
"299";"K7-114-1142-299";2008-11-16;114;1142;0
"300";"K7-114-1142-300";2008-11-17;114;1142;0
"301";"K7-114-1142-301";2008-11-17;114;1142;0
"302";"K7-114-1142-302";2008-11-17;114;1142;0
"303";"K7-114-1142-303";2008-11-17;114;1142;0
"304";"K7-114-1142-304";2008-11-17;114;1142;0
"305";"K7-114-1142-305";2008-11-17;114;1142;0
"306";"K7-114-1142-306";2008-11-17;114;1142;0
"307";"K7-114-1142-307";2008-11-17;114;1142;0
"308";"K7-114-1142-308";2008-11-17;114;1142;0
"309";"K7-114-1142-309";2008-11-17;114;1142;0
"310";"K7-114-1142-310";2008-11-17;114;1142;0
"311";"K7-114-1142-311";2008-11-17;114;1142;0
"312";"K7-114-1142-312";2008-11-17;114;1142;0
"313";"K7-114-1142-313";2008-11-17;114;1142;0
"314";"K7-114-1142-314";2008-11-17;114;1142;0
"315";"K7-114-1142-315";2008-11-17;114;1142;0
"316";"K7-114-1142-316";2008-11-17;114;1142;0
"317";"K7-114-1142-317";2008-11-17;114;1142;0
"318";"K7-114-1142-318";2008-11-17;114;1142;0
"319";"K7-114-1142-319";2008-11-17;114;1142;0
"320";"K7-114-1142-320";2008-11-17;114;1142;0
"321";"K7-114-1142-321";2008-11-17;114;1142;0
"322";"K7-114-1142-322";2008-11-17;114;1142;0
"323";"K7-114-1142-323";2008-11-17;114;1142;0
"324";"K7-114-1142-324";2008-11-17;114;1142;0
"325";"K7-114-1142-325";2008-11-17;114;1142;0
"326";"K7-114-1142-326";2008-11-17;114;1142;0
"327";"K7-114-1142-327";2008-11-17;114;1142;0
"328";"K7-114-1142-328";2008-11-17;114;1142;0
"329";"K7-114-1142-329";2008-11-17;114;1142;0
"330";"K7-114-1142-330";2008-11-17;114;1142;0
"331";"K7-114-1142-331";2008-11-17;114;1142;0
"332";"K7-114-1142-332";2008-11-17;114;1142;0
"333";"K7-114-1142-333";2008-11-17;114;1142;0
"334";"K7-114-1142-334";2008-11-17;114;1142;0
"335";"K7-114-1142-335";2008-11-17;114;1142;0
"336";"K7-114-1142-336";2008-11-17;114;1142;0
"337";"K7-114-1142-337";2008-11-17;114;1142;0
"338";"K7-114-1142-338";2008-11-17;114;1142;0
"339";"K7-114-1142-339";2008-11-17;114;1142;0
"340";"K7-114-1142-340";2008-11-17;114;1142;0
"341";"K7-114-1142-341";2008-11-17;114;1142;0
"342";"K7-114-1142-342";2008-11-17;114;1142;0
"343";"K7-114-1142-343";2008-11-17;114;1142;0
"344";"K7-114-1142-344";2008-11-17;114;1142;0
"345";"K7-114-1142-345";2008-11-17;114;1142;0
"346";"K7-114-1142-346";2008-11-17;114;1142;0
"347";"K7-114-1142-347";2008-11-17;114;1142;0
"348";"K7-114-1142-348";2008-11-17;114;1142;0
"349";"K7-114-1142-349";2008-11-17;114;1142;0
"350";"K7-114-1142-350";2008-11-17;114;1142;0
"351";"K7-114-1142-351";2008-11-17;114;1142;0
"352";"K7-114-1142-352";2008-11-17;114;1142;0
"353";"K7-114-1142-353";2008-11-17;114;1142;0
"354";"K7-114-1142-354";2008-11-17;114;1142;0
"355";"K7-114-1142-355";2008-11-17;114;1142;0
"356";"K7-114-1142-356";2008-11-17;114;1142;0
"357";"K7-114-1142-357";2008-11-17;114;1142;0
"358";"K7-114-1142-358";2008-11-17;114;1142;0
"359";"K7-114-1142-359";2008-11-17;114;1142;0
"360";"K7-114-1142-360";2008-11-17;114;1142;0
"361";"K7-114-1142-361";2008-11-17;114;1142;0
"362";"K7-114-1142-362";2008-11-17;114;1142;0
"363";"K7-114-1142-363";2008-11-17;114;1142;0
"364";"K7-114-1142-364";2008-11-17;114;1142;0
"365";"K7-114-1142-365";2008-11-17;114;1142;0
"366";"K7-114-1142-366";2008-11-17;114;1142;0
"367";"K7-114-1142-367";2008-11-17;114;1142;0
"368";"K7-114-1142-368";2008-11-17;114;1142;0
"369";"K7-114-1142-369";2008-11-17;114;1142;0
"370";"K7-114-1142-370";2008-11-17;114;1142;0
"371";"K7-114-1142-371";2008-11-17;114;1142;0
"372";"K7-114-1142-372";2008-11-17;114;1142;0
"373";"K7-114-1142-373";2008-11-17;114;1142;0
"374";"K7-114-1142-374";2008-11-17;114;1142;0
"375";"K7-114-1142-375";2008-11-17;114;1142;0
"376";"K7-114-1142-376";2008-11-17;114;1142;0
"377";"K7-114-1142-377";2008-11-17;114;1142;0
"378";"K7-114-1142-378";2008-11-17;114;1142;0
"379";"K7-114-1142-379";2008-11-17;114;1142;0
"380";"K7-114-1142-380";2008-11-17;114;1142;0
"381";"K7-114-1142-381";2008-11-17;114;1142;0
"382";"K7-114-1142-382";2008-11-17;114;1142;0
"383";"K7-114-1142-383";2008-11-17;114;1142;0
"384";"K7-114-1142-384";2008-11-17;114;1142;0
"385";"K7-114-1142-385";2008-11-17;114;1142;0
"386";"K7-114-1142-386";2008-11-17;114;1142;0
"387";"K7-114-1142-387";2008-11-17;114;1142;0
"388";"K7-114-1142-388";2008-11-17;114;1142;0
"389";"K7-114-1142-389";2008-11-17;114;1142;0
"390";"K7-114-1142-390";2008-11-17;114;1142;0
"391";"K7-114-1142-391";2008-11-17;114;1142;0
"392";"K7-114-1142-392";2008-11-17;114;1142;0
"393";"K7-114-1142-393";2008-11-17;114;1142;0
"394";"K7-114-1142-394";2008-11-17;114;1142;0
"395";"K7-114-1142-395";2008-11-17;114;1142;0
"396";"K7-114-1142-396";2008-11-17;114;1142;0
"397";"K7-114-1142-397";2008-11-17;114;1142;0
"398";"K7-114-1142-398";2008-11-17;114;1142;0
"399";"K7-114-1142-399";2008-11-18;114;1142;0
"400";"K7-114-1142-400";2008-11-18;114;1142;0
"401";"K7-114-1142-401";2008-11-18;114;1142;0
"402";"K7-114-1142-402";2008-11-18;114;1142;0
"403";"K7-114-1142-403";2008-11-18;114;1142;0
"404";"K7-114-1142-404";2008-11-18;114;1142;0
"405";"K7-114-1142-405";2008-11-18;114;1142;0
"406";"K7-114-1142-406";2008-11-18;114;1142;0
"407";"K7-114-1142-407";2008-11-18;114;1142;0
"408";"K7-114-1142-408";2008-11-18;114;1142;0
"409";"K7-114-1142-409";2008-11-18;114;1142;0
"410";"K7-114-1142-410";2008-11-18;114;1142;0
"411";"K7-114-1142-411";2008-11-18;114;1142;0
"412";"K7-114-1142-412";2008-11-18;114;1142;0
"413";"K7-114-1142-413";2008-11-18;114;1142;0
"414";"K7-114-1142-414";2008-11-18;114;1142;0
"415";"K7-114-1142-415";2008-11-18;114;1142;0
"416";"K7-114-1142-416";2008-11-18;114;1142;0
"417";"K7-114-1142-417";2008-11-18;114;1142;0
"418";"K7-114-1142-418";2008-11-18;114;1142;0
"419";"K7-114-1142-419";2008-11-18;114;1142;0
"420";"K7-114-1142-420";2008-11-18;114;1142;0
"421";"K7-114-1142-421";2008-11-18;114;1142;0
"422";"K7-114-1142-422";2008-11-18;114;1142;0
"423";"K7-114-1142-423";2008-11-18;114;1142;0
"424";"K7-114-1142-424";2008-11-18;114;1142;0
"425";"K7-114-1142-425";2008-11-18;114;1142;0
"426";"K7-114-1142-426";2008-11-18;114;1142;0
"427";"K7-114-1142-427";2008-11-18;114;1142;0
"428";"K7-114-1142-428";2008-11-18;114;1142;0
"429";"K7-114-1142-429";2008-11-18;114;1142;0
"430";"K7-114-1142-430";2008-11-18;114;1142;0
"431";"K7-114-1142-431";2008-11-18;114;1142;0
"432";"K7-114-1142-432";2008-11-18;114;1142;0
"433";"K7-114-1142-433";2008-11-18;114;1142;0
"434";"K7-114-1142-434";2008-11-18;114;1142;0
"435";"K7-114-1142-435";2008-11-18;114;1142;0
"436";"K7-114-1142-436";2008-11-18;114;1142;0
"437";"K7-114-1142-437";2008-11-18;114;1142;0
"438";"K7-114-1142-438";2008-11-18;114;1142;0
"439";"K7-114-1142-439";2008-11-18;114;1142;0
"440";"K7-114-1142-440";2008-11-18;114;1142;0
"441";"K7-114-1142-441";2008-11-18;114;1142;0
"442";"K7-114-1142-442";2008-11-18;114;1142;0
"443";"K7-114-1142-443";2008-11-18;114;1142;0
"444";"K7-114-1142-444";2008-11-18;114;1142;0
"445";"K7-114-1142-445";2008-11-18;114;1142;0
"446";"K7-114-1142-446";2008-11-18;114;1142;0
"447";"K7-114-1142-447";2008-11-18;114;1142;0
"448";"K7-114-1142-448";2008-11-18;114;1142;0
"449";"K7-114-1142-449";2008-11-18;114;1142;0
"450";"K7-114-1142-450";2008-11-18;114;1142;0
"451";"K7-114-1142-451";2008-11-18;114;1142;0
"452";"K7-114-1142-452";2008-11-18;114;1142;0
"453";"K7-114-1142-453";2008-11-18;114;1142;0
"454";"K7-114-1142-454";2008-11-18;114;1142;0
"455";"K7-114-1142-455";2008-11-18;114;1142;0
"456";"K7-114-1142-456";2008-11-18;114;1142;0
"457";"K7-114-1142-457";2008-11-18;114;1142;0
"458";"K7-114-1142-458";2008-11-18;114;1142;0
"459";"K7-114-1142-459";2008-11-18;114;1142;0
"460";"K7-114-1142-460";2008-11-18;114;1142;0
"461";"K7-114-1142-461";2008-11-18;114;1142;0
"462";"K7-114-1142-462";2008-11-18;114;1142;0
"463";"K7-114-1142-463";2008-11-18;114;1142;0
"464";"K7-114-1142-464";2008-11-18;114;1142;0
"465";"K7-114-1142-465";2008-11-18;114;1142;0
"466";"K7-114-1142-466";2008-11-18;114;1142;0
"467";"K7-114-1142-467";2008-11-18;114;1142;0
"468";"K7-114-1142-468";2008-11-18;114;1142;0
"469";"K7-114-1142-469";2008-11-18;114;1142;0
"470";"K7-114-1142-470";2008-11-18;114;1142;0
"471";"K7-114-1142-471";2008-11-18;114;1142;0
"472";"K7-114-1142-472";2008-11-18;114;1142;0
"473";"K7-114-1142-473";2008-11-18;114;1142;0
"474";"K7-114-1142-474";2008-11-18;114;1142;0
"475";"K7-114-1142-475";2008-11-18;114;1142;0
"476";"K7-114-1142-476";2008-11-18;114;1142;0
"477";"K7-114-1142-477";2008-11-18;114;1142;0
"478";"K7-114-1142-478";2008-11-18;114;1142;0
"479";"K7-114-1142-479";2008-11-18;114;1142;0
"480";"K7-114-1142-480";2008-11-18;114;1142;0
"481";"K7-114-1142-481";2008-11-18;114;1142;0
"482";"K7-114-1142-482";2008-11-18;114;1142;0
"483";"K7-114-1142-483";2008-11-18;114;1142;0
"484";"K7-114-1142-484";2008-11-18;114;1142;0
"485";"K7-114-1142-485";2008-11-18;114;1142;0
"486";"K7-114-1142-486";2008-11-18;114;1142;0
"487";"K7-114-1142-487";2008-11-18;114;1142;0
"488";"K7-114-1142-488";2008-11-18;114;1142;0
"489";"K7-114-1142-489";2008-11-18;114;1142;0
"490";"K7-114-1142-490";2008-11-18;114;1142;0
"491";"K7-114-1142-491";2008-11-18;114;1142;0
"492";"K7-114-1142-492";2008-11-18;114;1142;0
"493";"K7-114-1142-493";2008-11-18;114;1142;0
"494";"K7-114-1142-494";2008-11-18;114;1142;0
"495";"K7-114-1142-495";2008-11-18;114;1142;0
"496";"K7-114-1142-496";2008-11-18;114;1142;0
